Table: EMPRESA structure columns
"TABLE_NAME";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH"
"EMPRESA";"HISTORICO_BEAN";"VARCHAR2";"1"
"EMPRESA";"RAZON_SOCIAL";"VARCHAR2";"60"
"EMPRESA";"NUMERO_CRONOGRAMA";"NUMBER";"22"
"EMPRESA";"USUARIO_TRANSACCION";"VARCHAR2";"13"
"EMPRESA";"ESTADO_GRUPO_CRONOGRAMA";"VARCHAR2";"1"
"EMPRESA";"FECHA_TRANSACCION";"DATE";"7"
"EMPRESA";"FECHA_ASIGNA_ASESOR_PREVENCION";"DATE";"7"
"EMPRESA";"FECHA_AFILIACION";"DATE";"7"
"EMPRESA";"FECHA_DESAFILIACION";"DATE";"7"
"EMPRESA";"FAX";"VARCHAR2";"15"
"EMPRESA";"FECHA_ESTADO_GRUPO";"DATE";"7"
"EMPRESA";"CLIENTE_PREFERENCIAL_ARP";"VARCHAR2";"1"
"EMPRESA";"HORAS_ADMIN";"NUMBER";"22"
"EMPRESA";"HORAS_ADMIN_ENCARGADO";"NUMBER";"22"
"EMPRESA";"HORAS_CAMPO";"NUMBER";"22"
"EMPRESA";"HORAS_CAMPO_ENCARGADO";"NUMBER";"22"
"EMPRESA";"NO_CAMBIA_PLAN";"VARCHAR2";"1"
"EMPRESA";"OBSERVACIONES";"VARCHAR2";"4000"
"EMPRESA";"TIPO_DOCUMENTO";"VARCHAR2";"2"
"EMPRESA";"FECHA_ENTRA_EN_MORA";"DATE";"7"
"EMPRESA";"COD_RIESGO_BOLIVAR";"NUMBER";"22"
"EMPRESA";"FECHA_REAFILIACION";"DATE";"7"
"EMPRESA";"PROVEEDOR_MASIVO";"NUMBER";"22"
"EMPRESA";"COD_TAMANO_EMPRESA";"NUMBER";"22"
"EMPRESA";"ALTO_RIESGO_AE";"VARCHAR2";"1"
"EMPRESA";"ALTO_RIESGO_D2090";"VARCHAR2";"1"
"EMPRESA";"ID_REF_GRUPO";"NUMBER";"22"
"EMPRESA";"VALIDAR_GRUPO_EMPRESARIAL";"VARCHAR2";"1"
"EMPRESA";"CODIGO_ASESOR_PREASIGNADO";"NUMBER";"22"
"EMPRESA";"CODIGO_AGR_ENCAR_PREASIGNADO";"NUMBER";"22"
"EMPRESA";"CLASE_RIESGO_PRINCIPAL";"NUMBER";"22"
"EMPRESA";"CODIGO_ACTIVIDAD_ECONOMICA";"NUMBER";"22"
"EMPRESA";"CODIGO_SECTOR_ECONOMICO";"VARCHAR2";"1"
"EMPRESA";"CODIGO_SUBSECTOR_ECONOMICO";"NUMBER";"22"
"EMPRESA";"CODIGO_CIUDAD";"VARCHAR2";"10"
"EMPRESA";"CODIGO_DEPARTAMENTO";"NUMBER";"22"
"EMPRESA";"ENCARGADO_SALUD_OCUPACIONAL";"VARCHAR2";"60"
"EMPRESA";"CARGO_ENCARGADO_SALUD";"VARCHAR2";"60"
"EMPRESA";"REPRESENTANTE_LEGAL";"VARCHAR2";"60"
"EMPRESA";"CARGO_REPRESENTANTE_LEGAL";"VARCHAR2";"60"
"EMPRESA";"CODIGO_CAUSA_GRUPO";"NUMBER";"22"
"EMPRESA";"CODIGO_CAUSA_ACTIVIDAD";"NUMBER";"22"
"EMPRESA";"CODIGO_PLAN";"NUMBER";"22"
"EMPRESA";"CODIGO_ASESOR_PREVENCION";"NUMBER";"22"
"EMPRESA";"CODIGO_ASESOR_PREVENCION_ENCAR";"NUMBER";"22"
"EMPRESA";"CODIGO_CAUSA_PLAN";"NUMBER";"22"
"EMPRESA";"CODIGO_GRUPO_EMPRESARIAL";"NUMBER";"22"
"EMPRESA";"NIT_EMPRESA";"NUMBER";"22"
